id_curso;nombre;tipo;creditos;t_aprobacion;id_ciclo
202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;O;3;;72
202W0808;VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE;O;3;;72
202W0901;DESARROLLO DE TESIS I;O;2;;73
202W0902;GARANTÍA DE SOFTWARE;O;3;;73
202W0903;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;O;3;;73
202W0904;GESTIÓN DE MANTENIMIENTO DEL SOFTWARE;O;3;;73
202W0905;GESTIÓN DE RIESGO DEL SOFTWARE;O;3;;73
202W0906;INTERNET DE LAS COSAS;O;3;;73
202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;O;3;;73
202W0908;SOFTWARE INTELIGENTE;O;3;;73
202W1001;ANALÍTICA DE DATOS;O;3;;74
202W1002;DESARROLLO DE TESIS II;O;2;;74
202W1003;PRÁCTICA PRE PROFESIONAL;O;4;;74
202W1004;TALLER DE APLICACIONES SOCIALES;O;3;;74
202W1005;TENDENCIAS DE ARQUITECTURA DE SOFTWARE;O;3;;74
202W1006;TENDENCIAS EN INGENIERÍA DE SOFTWARE Y GESTIÓN;O;3;;74
INO108;PROGRAMACIÓN Y COMPUTACIÓN;O;2;;33
INO208;EMPRENDIMIENTO E INNOVACIÓN;O;2;;34
201230301;INTRODUCCIÓN A LA COMPUTACIÓN;O;4;;35
201230302;SERIES Y ECUACIONES DIFERENCIALES;O;4;;35
201230303;ELECTROMAGNETISMO Y ÓPTICA;O;4;;35
201230304;PROGRAMACIÓN DE COMPUTADORAS I;O;4;;35
201230305;FUNDAMENTOS DE SISTEMAS DE INFORMACIÓN;O;2;;35
201230306;MATEMÁTICAS DISCRETAS;O;4;;35
201230401;ORGANIZACIÓN EMPRESARIAL;O;4;;36
201230402;PROGRAMACIÓN DE COMPUTADORAS II;O;4;;36
201230403;MÉTODOS NUMÉRICOS;O;3;;36
201230404;ARQUITECTURA DE COMPUTADORAS;O;4;;36
201230405;ESTADÍSTICA I;O;4;;36
201230406;INGENIERÍA ECONÓMICA;O;3;;36
201230501;ANÁLISIS DE SISTEMAS DE INFORMACIÓN;O;4;;37
201230502;DISEÑO DE BASE DE DATOS;O;4;;37
201230503;ESTRUCTURA DE DATOS;O;4;;37
201230504;ESTADÍSTICA II;O;4;;37
201230505;SISTEMAS OPERATIVOS;O;4;;37
201230506;INVESTIGACIÓN OPERATIVA;O;4;;37
201230601;DISEÑO DE SISTEMAS DE INFORMACIÓN;O;4;;38
201230602;ADMINISTRACIÓN DE BASE DE DATOS;O;4;;38
201230603;REDES Y COMUNICACIONES;O;4;;38
201230604;DISEÑO DE INTERFASES DE USUARIO;O;3;;38
201230605;MODELOS Y SIMULACIÓN;O;3;;38
