id_estudiante;id_escuela;id_plan;anio_ingreso
22200041;1;3;22
23200056;1;3;23
20200289;2;7;20
21200259;2;7;21
23200303;2;7;23
24200181;2;8;24
24200034;1;3;24
18200100;2;6;18
20200026;2;7;20
20200290;2;7;20
24200035;1;3;24
23200305;2;7;23
20200210;1;3;20
21200152;1;3;21
23200057;1;3;23
24200036;1;3;24
6200193;1;3;62
24200037;1;3;24
25200034;1;3;25
20200291;2;7;20
22200283;2;7;22
25200181;2;8;25
24200205;3;9;24
15200040;1;2;15
25200035;1;3;25
23200113;2;7;23
24200038;1;3;24
22200280;2;7;22
24200126;1;3;24
25200201;3;9;25
19200257;2;7;19
18200319;2;6;18
19130052;1;3;19
20200053;1;3;20
20200214;1;3;20
22200042;1;3;22
22200165;1;3;22
23200058;1;3;23
23200059;1;3;23
23200209;1;3;23
23200210;1;3;23
20200087;2;7;20
21200292;2;7;21
21200302;2;7;21
23200114;2;7;23
24200171;2;8;24
25200054;2;8;25
25200055;2;8;25
25200056;2;8;25
24200206;3;9;24
18200044;1;2;18
25200036;1;3;25
23200212;1;3;23
23200213;1;3;23
15200226;2;5;15
24200172;2;8;24
25200202;3;9;25
23200115;2;7;23
21200087;1;3;21
21200270;2;7;21
24200207;3;9;24
22200140;1;3;22
24200039;1;3;24
21200071;1;3;21
23200060;1;3;23
23200061;1;3;23
17200199;1;2;17
25200203;3;9;25
22200245;2;7;22
25200074;3;9;25
25200038;1;3;25
25200120;1;3;25
23200307;2;7;23
22200043;1;3;22
25200039;1;3;25
22200099;2;7;22
20200234;1;3;20
24200127;1;3;24
22200309;2;7;22
22200063;1;3;22
22200182;1;3;22
